,n_votes,who,unique_who,mean,std
sub-NDARAA075AMK_T1w__ax_111,6,"{'Dylan', 'vkeshavan', 'Dnkennedy', 'jyeatman ', 'gkiar', 'andronovhopf'}",6,1.0,0.0
sub-NDARAA075AMK_T1w__ax_131,6,"{'gkiar', 'pbellec', 'sliew', 'ekubota', 'cjmarkie'}",5,0.5,0.5477225575051661
sub-NDARAA075AMK_T1w__ax_151,3,"{'sliew', 'binarybottle', 'pdonnelly'}",3,0.6666666666666666,0.5773502691896258
sub-NDARAA075AMK_T1w__ax_71,5,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'gkiar', 'cjmarkie'}",5,0.8,0.44721359549995804
sub-NDARAA075AMK_T1w__ax_91,8,"{'Dylan', 'binarybottle', 'Dnkennedy', 'arokem'}",4,0.5,0.5345224838248488
sub-NDARAA536PTU_T1w__ax_101,10,"{'Dnkennedy', 'Kesh', 'akeshavan', 'gkiar', 'pdonnelly'}",5,0.6,0.5163977794943223
sub-NDARAA536PTU_T1w__ax_121,6,"{'Dylan', 'binarybottle', 'Dnkennedy', 'cjmarkie'}",4,1.0,0.0
sub-NDARAA536PTU_T1w__ax_141,7,"{'anisha', 'Dnkennedy', 'Kesh', 'pdonnelly'}",4,0.7142857142857143,0.48795003647426666
sub-NDARAA536PTU_T1w__ax_61,5,"{'Dylan', 'bv42', 'arokem'}",3,0.8,0.4472135954999579
sub-NDARAA536PTU_T1w__ax_81,6,{'akeshavan'},1,0.5,0.5477225575051661
sub-NDARAA948VFH_T1w__ax_111,5,"{'anisha', 'Dnkennedy', 'cjmarkie'}",3,1.0,0.0
sub-NDARAA948VFH_T1w__ax_131,4,"{'Dnkennedy', 'pdonnelly'}",2,1.0,0.0
sub-NDARAA948VFH_T1w__ax_51,6,"{'Dylan', 'cjmarkie', 'pdonnelly', 'arokem'}",4,1.0,0.0
sub-NDARAA948VFH_T1w__ax_71,6,"{'gkiar', 'pdonnelly', 'ekubota'}",3,0.8333333333333334,0.408248290463863
sub-NDARAA948VFH_T1w__ax_91,4,"{'Dylan', 'satra', 'gkiar'}",3,1.0,0.0
sub-NDARAC853DTE_T1w__ax_105,6,"{'akeshavan', 'bv42', 'Kesh', 'pdonnelly'}",4,0.8333333333333334,0.408248290463863
sub-NDARAC853DTE_T1w__ax_125,6,"{'akeshavan', 'satra', 'cjmarkie', 'Dylan'}",4,0.3333333333333333,0.5163977794943223
sub-NDARAC853DTE_T1w__ax_145,4,"{'arokem', 'gkiar', 'cjmarkie', 'ekubota'}",4,0.5,0.5773502691896257
sub-NDARAC853DTE_T1w__ax_165,4,"{'Dylan', 'akeshavan'}",2,0.0,0.0
sub-NDARAC853DTE_T1w__ax_85,6,"{'Dnkennedy', 'akeshavan', 'pdonnelly', 'cjmarkie', 'arokem'}",5,0.0,0.0
sub-NDARAC904DMU_T1w__ax_118,3,"{'akeshavan', 'Dnkennedy', 'ekubota'}",3,0.3333333333333333,0.5773502691896258
sub-NDARAC904DMU_T1w__ax_138,7,"{'Dylan', 'akeshavan', 'cjmarkie', 'arokem'}",4,0.0,0.0
sub-NDARAC904DMU_T1w__ax_58,7,"{'Dylan', '62442katieb', 'gkiar', 'another_anisha', 'binarybottle'}",5,0.14285714285714285,0.3779644730092273
sub-NDARAC904DMU_T1w__ax_78,5,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'cjmarkie'}",4,0.4,0.5477225575051662
sub-NDARAC904DMU_T1w__ax_98,5,"{'Dylan', 'satra', 'cjmarkie', 'ekubota'}",4,0.0,0.0
sub-NDARAD481FXF_T1w__ax_117,6,"{'anisha', 'cjmarkie', 'dnkennedy', 'akeshavan'}",4,0.3333333333333333,0.5163977794943223
sub-NDARAD481FXF_T1w__ax_137,5,"{'Dylan', 'Dnkennedy', 'gkiar', 'anisha', 'spa'}",5,0.6,0.5477225575051662
sub-NDARAD481FXF_T1w__ax_57,5,"{'Dylan', 'satra', 'pdonnelly', 'bv42', 'arokem'}",5,0.8,0.4472135954999579
sub-NDARAD481FXF_T1w__ax_77,7,"{'Dylan', 'akeshavan', 'arokem', 'andronovhopf'}",4,0.8571428571428571,0.37796447300922725
sub-NDARAD481FXF_T1w__ax_97,5,"{'Dylan', 'akeshavan', 'binarybottle', 'anisha', 'arokem'}",5,0.6,0.5477225575051662
sub-NDARAE012DGA_T1w__ax_106,5,"{'Dylan', 'akeshavan', 'cjmarkie', 'arokem'}",4,0.8,0.4472135954999579
sub-NDARAE012DGA_T1w__ax_126,5,"{'akeshavan', 'binarybottle', 'cjmarkie', 'ekubota'}",4,0.6,0.5477225575051662
sub-NDARAE012DGA_T1w__ax_146,4,"{'Dnkennedy', 'gkiar', 'akeshavan'}",3,1.0,0.0
sub-NDARAE012DGA_T1w__ax_66,10,"{'Dnkennedy', 'another_anisha', 'satra', 'cjmarkie', 'arokem'}",5,1.0,0.0
sub-NDARAE012DGA_T1w__ax_86,4,"{'Dylan', 'vkeshavan', 'cjmarkie'}",3,0.75,0.5
sub-NDARAE199TDD_T1w__ax_107,5,"{'Dylan', 'dnkennedy', 'pdonnelly', 'ekubota', 'arokem'}",5,0.8,0.4472135954999579
sub-NDARAE199TDD_T1w__ax_127,3,"{'Dnkennedy', 'binarybottle', 'akeshavan'}",3,1.0,0.0
sub-NDARAE199TDD_T1w__ax_147,6,"{'Dnkennedy', 'cjmarkie', 'akeshavan', 'arokem'}",4,1.0,0.0
sub-NDARAE199TDD_T1w__ax_67,4,"{'Dylan', 'gkiar', 'akeshavan', 'bv42'}",4,0.75,0.5
sub-NDARAE199TDD_T1w__ax_87,10,"{'Dnkennedy', 'gkiar', 'ekubota', 'cjmarkie', 'arokem'}",5,1.0,0.0
sub-NDARAG340ERT_T1w__ax_115,3,"{'akeshavan', 'another_anisha'}",2,1.0,0.0
sub-NDARAG340ERT_T1w__ax_135,4,"{'Dylan', 'cjmarkie', 'Kesh'}",3,0.75,0.5
sub-NDARAG340ERT_T1w__ax_55,5,"{'akeshavan', 'Dylan', 'cjmarkie'}",3,1.0,0.0
sub-NDARAG340ERT_T1w__ax_75,7,"{'akeshavan', 'cjmarkie', 'arokem', 'pbellec'}",4,1.0,0.0
sub-NDARAG340ERT_T1w__ax_95,5,"{'Dnkennedy', 'Dylan', 'gkiar', 'satra', 'arokem'}",5,1.0,0.0
sub-NDARAH948UF0_T1w__ax_115,6,"{'Dylan', 'Dnkennedy', 'satra', 'ekubota', 'cjmarkie'}",5,1.0,0.0
sub-NDARAH948UF0_T1w__ax_135,6,"{'Dylan', 'dnkennedy', 'arokem'}",3,0.8333333333333334,0.408248290463863
