vote,image_id,time,username
1,gifbrles_031948,15445,akeshavan
1,gifbrles_031869,2433,akeshavan
1,gifbrles_031773,2708,akeshavan
1,gifbrles_031851,1936,akeshavan
1,gifbrles_031905,1854,akeshavan
1,gifbrles_031911,1580,akeshavan
1,gifbrles_031928,2122,akeshavan
0,gifbrles_c0007s0029t01,3432,akeshavan
0,gifbrles_031842,12555,akeshavan
1,gifbrles_031808,17182,akeshavan
1,gifbrles_031845,22006,akeshavan
1,gifbrles_031911,59461,akeshavan
0,gifbrles_c0007s0001t01,27166,akeshavan
1,gifbrles_031896,3214,akeshavan
1,gifbrles_031910,3021,akeshavan
1,gifbrles_031961,231931,akeshavan
1,gifbrles_c0009s0010t01,2716,akeshavan
1,gifbrles_031977,2546,akeshavan
0,gifbrles_c0007s0019t01,8190,akeshavan
1,gifbrles_031825,5439,akeshavan
1,gifbrles_031929,2194,akeshavan
1,gifbrles_c0010s0022t01,13102,akeshavan
1,gifbrles_031898,8485,sliew
1,gifbrles_c0011s0008t01,3810,sliew
0,gifbrles_c0007s0012t01,7981,sliew
1,gifbrles_031793,7616,sliew
0,gifbrles_031918,88878,sliew
0,gifbrles_c0010s0028t01,7820264,sliew
1,gifbrles_c0010s0013t01,6634,sliew
1,gifbrles_031775,3289,sliew
1,gifbrles_c0009s0002t01,2238,sliew
1,gifbrles_031832,2007,sliew
1,gifbrles_031906,2342,akeshavan
1,gifbrles_031977,9018,akeshavan
0,gifbrles_c0005s0027t01,2088,akeshavan
1,gifbrles_031947,3208,akeshavan
1,gifbrles_c0011s0012t01,44941,akeshavan
1,gifbrles_031850,36701,akeshavan
0,gifbrles_c0007s0016t01,4219,akeshavan
1,gifbrles_031910,1124,akeshavan
1,gifbrles_031857,5764,akeshavan
1,gifbrles_031771,1407,akeshavan
0,gifbrles_c0010s0029t01,2662,akeshavan
0,gifbrles_c0010s0028t01,8247,akeshavan
1,gifbrles_031794,3384,akeshavan
1,gifbrles_c0008s0014t01,1234,akeshavan
1,gifbrles_031848,1259,akeshavan
0,gifbrles_031899,4651,akeshavan
1,gifbrles_031799,48483,akeshavan
1,gifbrles_031901,3382,akeshavan
0,gifbrles_c0007s0033t01,61821,akeshavan
1,gifbrles_031777,3163,akeshavan
1,gifbrles_c0009s0010t01,5074,akeshavan
0,gifbrles_c0008s0011t01,7048,akeshavan
1,gifbrles_031786,2251,akeshavan
0,gifbrles_c0007s0015t01,22652,akeshavan
1,gifbrles_031857,3915,akeshavan
0,gifbrles_c0011s0006t01,14483,akeshavan
1,gifbrles_031853,8021,akeshavan
0,gifbrles_c0007s0020t01,1864,akeshavan
1,gifbrles_031872,19126,akeshavan
0,gifbrles_c0010s0029t01,6274,akeshavan
1,gifbrles_031784,2633,akeshavan
1,gifbrles_031892,51437,akeshavan
0,gifbrles_c0008s0010t01,1681,akeshavan
1,gifbrles_031862,1611,akeshavan
1,gifbrles_031978,1400,akeshavan
1,gifbrles_031886,1453,akeshavan
0,gifbrles_c0008s0027t01,1427,akeshavan
0,gifbrles_c0005s0012t01,1580,akeshavan
1,gifbrles_031984,1938,sliew
1,gifbrles_031795,2232,sliew
0,gifbrles_c0008s0010t01,12436,sliew
1,gifbrles_c0011s0008t01,3100,sliew
0,gifbrles_c0008s0027t01,9009,sliew
0,gifbrles_c0010s0016t01,19262,sliew
1,gifbrles_031853,1972,sliew
1,gifbrles_031832,2742,sliew
0,gifbrles_031866,65681,tester
1,gifbrles_031932,2104,sliew
1,gifbrles_031948,1227,sliew
1,gifbrles_c0011s0004t01,1021,sliew
0,gifbrles_031818,4704,tester
0,gifbrles_c0010s0037t01,2704,sliew
0,gifbrles_c0007s0028t01,2625,tester
0,gifbrles_c0007s0014t01,2535,sliew
0,gifbrles_c0008s0024t01,2861,tester
0,gifbrles_c0010s0013t01,4137,tester
0,gifbrles_c0006s0008t01,8896,sliew
0,gifbrles_c0011s0013t01,9184,sliew
1,gifbrles_c0010s0006t01,12345,tester
1,gifbrles_031829,2521,sliew
0,gifbrles_c0007s0014t01,3468,tester
0,gifbrles_c0005s0026t01,2112,sliew
0,gifbrles_c0004s0029t01,5157,sliew
0,gifbrles_c0010s0009t01,6651,tester
1,gifbrles_031896,1758,sliew
1,gifbrles_031859,1828,tester
0,gifbrles_031846,1716,tester
1,gifbrles_031935,2459,sliew
0,gifbrles_031839,1850,sliew
1,gifbrles_c0010s0006t01,1960,sliew
1,gifbrles_031948,1375,sliew
1,gifbrles_031890,6172,tester
1,gifbrles_031849,1627,sliew
1,gifbrles_031980,1756,tester
1,gifbrles_031811,1297,sliew
1,gifbrles_031794,1544,tester
0,gifbrles_c0007s0028t01,1773,sliew
1,gifbrles_031937,1566,sliew
0,gifbrles_c0009s0009t01,2059,tester
0,gifbrles_031773,2234,sliew
1,gifbrles_031850,2491,tester
1,gifbrles_031864,1394,tester
1,gifbrles_031809,1247,tester
1,gifbrles_031940,3727,sliew
1,gifbrles_c0009s0005t01,1309,tester
1,gifbrles_031859,1131,sliew
1,gifbrles_c0008s0011t01,1079,tester
1,gifbrles_c0011s0005t01,1009,sliew
1,gifbrles_031938,1195,tester
1,gifbrles_031772,1181,sliew
1,gifbrles_c0010s0015t01,1020,tester
1,gifbrles_031854,1554,sliew
1,gifbrles_031788,1380,tester
1,gifbrles_c0007s0031t01,987,tester
1,gifbrles_031834,2642,sliew
1,gifbrles_c0007s0031t01,1407,tester
1,gifbrles_031937,1228,sliew
1,gifbrles_031936,1183,tester
1,gifbrles_c0010s0003t01,1060,tester
0,gifbrles_c0010s0015t01,2399,sliew
1,gifbrles_c0004s0029t01,1400,tester
1,gifbrles_c0011s0013t01,1292,tester
1,gifbrles_031822,1935,sliew
1,gifbrles_031956,997,tester
